,article
97,아울러 연준은 올해 미국 국내총생산(GDP) 성장률이 1.4%에 이를 것으로 전망했다. 이는 3개월 전 전망치(1.7%)보다 0.3%포인트 낮다.
98,관세 불확실성과 최근 중동 전쟁 등 지정학 리스크 등으로 성장률은 둔화하고 인플레이션은 상승해 스태그플레이션에 대해 연준이 우려를 제기한 셈이다.
99,한편 파월 의장은 불확실성이 여전히 높지만 정점은 지났다고 평가하고 여름 인하 불가론을 제시하면서 이르면 9월에 금기가 내려갈 수 있음을 시사했다.
100,파월 의장은 트럼프 행정부의 관세정책 영향에 대해 “관세의 효과는 무엇보다도 최종 수준에 달려 있을 것”이라고 전제한 뒤 “관세의 경제적 영향에 대한 기대치는 지난 4월에 정점에 달했다가 이후 감소했다”고 분석했다.
101,이날 통화정책 성명서 역시 “경제 전망에 대한 불확실성이 줄었지만 높은 상태로 머물러 있다”고 전했다. 지난달 성명서에서 “불확실성이 더 늘었다”는 표현보다 완화된 것이다.
102,파월 의장은 이어 “우리는 관세에 대해 여름을 거치며 많은 것을 알게 될 것”이라고 밝혀 관세 불확실성이 올여름에 어느 정도 해소될 것으로 기대했다. 이에 따라 시장은 올해 첫 기준금리 인하가 여름 직후인 오는 9월에 이뤄질 것으로 전망했다. CME그룹 페드워치에 따르면 9월 기준금리 인하 가능성은 전날 63.2%에서 이날 68.4%로 상승했다.
103,파월 의장은 내년 5월 의장 임기가 끝난 뒤 연준에 남아 있을 것이냐는 질문에 대해 “알 수 없다”고 답하며 연준의 독립성을 재차 강조했다.
104,앞으로 베트남에서 전자담배를 흡연할 경우 최대 500만동(약 26만5000원)의 벌금이 부과될 전망이다.
105,19일 비엔익스프레스 등 현지 언론에 따르면 베트남 보건부는 최근 보도자료를 통해 전자담배 사용에 대한 행정처분을 포함하는 행정벌 규정 초안을 마련해 현재 의견을 수렴 중이라 밝혔다.
106,"향후 공청회와 검토 과정을 거쳐 시행 여부가 결정되며, 이번 규정은 내국인은 물론 외국인 관광객에게도 예외 없이 적용될 예정이다."
107,초안에 따르면 전자담배·가열담배 및 기타 신종 담배 제품을 사용하는 사람에게는 300만동(약 15만9000원)에서 500만동(약 26만5000원)의 벌금이 부과되며 해당 제품은 수거돼 폐기된다.
108,자신이 소유하거나 관리하는 장소에서 타인이 담배 제품을 사용하고 있음을 알면서도 이를 제지하거나 당국에 신고하지 않을 경우 500만동에서 1000만동(약 53만원)의 벌금이 부과된다.
109,전자담배에 대한 규제는 동남아 전역으로 확산하고 있다. 싱가포르는 이미 전자담배를 전면 금지하고 있으며 홍콩 또한 수입과 판매를 금지한 상태다. 베트남이 이번 초안을 법제화할 경우 아세안 국가 중 여섯 번째로 전자담배를 제재하는 국가가 된다.
110,베트남 보건부는 “현행 법령을 검토한 결과 전자담배 등 신종 담배 제품의 사용 또는 은닉 행위에 대한 명확한 처벌 조항이 없다는 점이 확인돼 이번 초안을 통해 관련 규정을 추가하게 됐다”고 전했다.
111,이스라엘이 연일 이란 핵시설을 타격하면서 방사능 오염에 대한 주변국의 우려가 커지고 있다.
112,"19일(현지시간) 로이터 통신에 따르면 이스라엘군 대변인은 이날 오전 이란 아라크 중수로 핵시설, 나탄즈 핵시설과 함께 부셰르 원전도 공격했다고 밝혀 관심이 집중됐다."
113,얼마 안 가 부셰르 원전 언급이 실수였다며 발표를 정정하면서 공격 여부를 확인도 부인도 할 수 없다고 밝혀 혼란을 부추겼다.
114,부셰르 원전을 직접 짓고 주변에 추가 시설도 건설 중인 러시아는 즉각 우려의 목소리를 냈다.
115,러시아 국영 원전기업 로사톰의 알렉세이 리하체프 사장은 “가동 주인 (부셰르) 제1원전이 공격받을 경우 체르노빌에 비견할 재앙이 벌어질 것”이라며 “이는 악(惡)을 넘어서는 일” 경고했다고 리아노보스티 통신이 보도했다.
116,리하체프 사장은 부셰르원전 현장에서 일부 전문가를 대피시켰지만 핵심인력은 현장에 남아있다고 했다.
117,마리야 자하로바 러시아 외무부 대변인은 브리핑에서 이스라엘에 이란 핵시설에 대한 공격을 즉각 멈추라고 촉구했다. 또 진정으로 예측 불가능하고 부정적 결과를 초래하는 매우 위험한 조치가 될 미국의 군사 개입에 대해 경고한다고도 했다.
118,드미트리 페스코프 크렘린궁 대변인은 타스 통신에 미국이 이스라엘·이란 분쟁에 개입할 경우 “분쟁의 지리적 범위가 확대될 것”이라며 경고했다.
119,걸프 지역의 아랍 국가에서도 주민들의 불안이 감지됐다.
120,"페르시아만(걸프 해역) 연안에 있는 부셰르 원전은 이란 수도 테헤란보다도 오만, 바레인, 카타르, 사우디아라비아, 아랍에미리트(UAE) 등 친미 아랍 국가들과 지리적으로 더 인접해 있다."
121,미국 CNN는 좁은 호르무즈 해협을 사이에 두고 이란과 마주한 걸프 국가 오만에서는 핵사고 발생 시 대처법이 소셜미디어에서 확산 중이라고 보도했다.
122,특히 이들은 부셰르 원전의 폭격 가능성에 경계심을 보였다. 주민들은 이란 원전 폭발 등 ‘최악의 상황’이 발생할 경우 폐쇄된 실내 공간 안에 들어가 모든 문과 창문을 단단히 봉쇄하고 에어컨이나 환기 시스템을 꺼야 한다는 등의 내용을 공유하고 있다.
123,다른 중동 국가들의 경우에도 언론에서도 잇따라 방사능 유출 사고 시 대처법을 내보내는 등 핵폭발로 인한 방사능 낙진에 대한 우려가 커지고 있다고 CNN은 전했다.
124,"특히 건조한 사막 국가인 이들은 이란과 공유한 걸프 해역의 바닷물을 담수화해 식수로 활용하는데, 부셰르 원전 등에서 대규모 핵사고가 발생할 경우 이 바닷물은 방사능 오염을 피하기 힘들 것으로 보인다."
125,CNN에 따르면 이 지역에 사는 약 6천만명이 넘는 사람들이 식수와 생활용수로 담수화한 걸프 해역 바닷물에 의존하고 있다.
126,셰이크 무함마드 알사니 카타르 총리는 지난 3월 미국 언론과 인터뷰에서 부셰르 원전이 폭발하면 발생할 수 있는 피해를 자체 분석했을 때 카타르 국민은 3일 안에 식수가 고갈될 것으로 파악됐다고 밝히기도 했다.
127,"알사니 총리는 그러면서 “이는 카타르뿐 아니라 쿠웨이트, UAE, 우리 모두에게 적용된다”고 강조했다."
128,미국 국무부가 잠시 중단했던 외국인 유학생과 연수생에 대한 미국 입국 비자 발급 관련 절차를 재개한다. 18일(현지시간) AP통신에 따르면 국무부는 이날 공지문을 통해 지난 5월부터 학생 비자 관련 절차를 중단하도록 한 조치를 철회했다고 밝혔다.
129,다만 국무부는 학생 비자 신규 신청자 중 자신의 사회관계망서비스(SNS) 계정 게시물에 대한 접근을 허용하지 않는 사람은 비자 발급이 거부될 수 있다고 경고했다. 국무부는 “새 지침에 따라 (해외 미국 대사관 및 영사관 등에 배치된) 영사업무 담당자들은 모든 학생과 교환 방문 비자 신청자에 대해 종합적이고 철저한 검토를 할 것”이라고 발표했다.
130,국무부는 이 같은 검토 절차를 위해 신청자들에게 모든 SNS 계정의 프라이버시 설정을 ‘공개’로 할 것을 요구한다면서 “강화된 SNS 검토는 우리나라를 방문하려 하는 모든 사람에 대해 적절히 심사할 수 있게 할 것”이라고 밝혔다. 그러면서 “온라인 활동 접근이나 가시성을 제한하는 것은 특정 활동을 회피하거나 은폐하려는 시도로 해석될 수 있다”고 덧붙였다.
131,"워싱턴포스트(WP)는 “이번 심사가 미국 유학을 희망하는 외국인에게 ‘환영받지 못하는 느낌’을 줄 수 있다”면서 “단순한 배경 조회를 넘어 지원자의 정치 성향을 테스트하는 리트머스 시험지 역할을 할 수 있다”는 우려의 목소리를 전했다. 이날 폴리티코에 따르면 국무부는 미국의 시민, 문화, 정부, 기관 또는 건국 이념에 대한 적대감의 징후 여부, 외국 테러리스트 및 기타 미국 국가 안보 위협에 대한 옹호·원조·지원 행위, 불법적인 반유대주의 행위에 대해 검토하고 표시하라고 대사관에 지시했다."
132,"비자 거부 사유로 제시된 미국에 대한 적대성의 기준이 모호해 미국 유학·연수·교육·연구를 계획 중인 학생과 학자들에게는 혼란과 불확실성이 여전하다고 뉴욕타임스(NYT)는 지적했다. 로이터통신은 “비판론자들은 도널드 트럼프 행정부의 조치가 미국 수정헌법 제1조에 따른 표현의 자유에 대한 침해라고 주장한다”고 전했다. 외국인에 대한 입국 비자 발급은 주권 국가의 전권이지만, 표현의 자유를 헌법적 권리로 보장하는 미국이 외국인의 과거 SNS 게시물을 비자 거부 사유로 삼는 점을 비판한 셈이다. 앞서 마코 루비오 미국 국무장관은 지난달 말 학생 비자 신청자들의 SNS 심사 및 검증 확대를 준비하기 위해 당분간 학생 및 교환 방문자의 비자 인터뷰 일정을 중단하라고 지시했다."
133,대만에서 같은 보온병을 10년 동안 사용한 남성이 중금속 중독으로 사망하는 일이 발생했다.
134,18일(현지 시간) 차이나프레스 등 현지 매체에 따르면 해당 남성은 10년간 철제 보온병에 산성 음료를 담아 마셨다.
135,보온병 내부에 녹이 슬어 있었음에도 제대로 세척하지 않고 계속 사용한 것으로 알려졌다.
136,어느날 남성은 건강이 악화됐다는 것을 느껴 병원을 찾았고 검사 결과 헤모글로빈 수치가 기준 이하로 떨어져 있었다. 신장도 망가진 상태였다.
137,의료진은 장기간 동일한 보온병을 사용하면서 독성 물질이 체내에 축적됐다고 진단했다. 남성은 중금속 중독 진단 1년 만에 폐렴 합병증으로 사망했다.
138,"전문가들은 보온병 재질에 납 등 중금속이 포함된 경우 뜨겁거나 산성 음료와 화학 반응을 일으켜 독성 물질을 방출한다고 설명했다. 중금속은 간이나 신장 기능, 신경계, 면역 체계에 심각한 손상을 초래할 수 있는 것으로 알려져 있다."
139,중금속 중독을 피하기 위해서는 스테인리스 재질 보온병을 선택하고 산성 음료를 보관하지 않으며 1~2년 주기로 교체해야 한다. 냄새가 나거나 녹이 발견되면 즉시 사용을 중단해야 한다.
140,“내가 무엇을 할지 아무도 모른다.”
141,도널드 트럼프 미국 대통령이 이스라엘의 이란 공습에 대한 미군 참여 여부에 엇갈린 신호를 보내면서 전략적 모호성을 유지하고 있다. 트럼프 대통령은 18일(현지시간) 백악관 집무실에서 이탈리아 명문 축구팀 유벤투스 선수들과 만난 자리에서 이스라엘의 대이란 공격 동참에 대한 취재진 질문에 아직 최종적으로 결정하지 않았다고 답변했다.
142,"트럼프 대통령은 “나는 시한 도래 1초 전에 최종 결정을 하고 싶다”며 “상황이 변한다. 특히 전쟁은 더욱 그렇다”고 말했다. 이 자리에서 아야톨라 세예드 알리 하메네이 이란 정권 붕괴 가능성을 강조한 트럼프 대통령은 여전히 외교의 문이 열려 있다고 말했다. 앞서 트럼프 대통령이 이날 이란에 대한 공격을 “할 수도 있고, 하지 않을 수도 있다”고 밝혔다."
143,"월스트리트저널(WSJ)은 이날 트럼프 대통령이 전날 이란을 공격하기 위한 계획을 승인했지만, 이란이 핵무기 개발을 포기할지 보기 위해 최종 공격 명령은 보류하겠다는 입장을 고위 참모들에게 밝혔다고 전했다. 트럼프 대통령은 미국이 이스라엘과 함께 이란을 공격할 수 있다는 위협을 통해 이란이 자신의 요구를 수용하도록 강제하기를 바란다고 소식통들은 WSJ에 전했다. 전날에 이어 이날도 백악관 상황실에서 피트 헤그세스 국방부 장관과 댄 케인 합참의장 등이 참석한 가운데 중동 위기에 대한 추가 회의를 했다."
144,"이처럼 공격과 외교 중 선택을 두고 트럼프 대통령의 고심이 깊어지는 가운데 전문가들 사이에서는 전쟁 장기화에 대한 경고를 쏟아내고 있다. 미국이 전면전에 휘말리지 않고 이란 핵시설을 공격할 수 있을지에 대한 논의가 관리들 사이에 진행되고 있다고 CNN이 이날 소식통을 인용해 보도했다. 트럼프 대통령은 미국만이 이란의 핵 야망을 끝낼 수 있다는 베냐민 네타냐후 이스라엘 총리의 주장을 수용하면서도, 해외 분쟁에 휘말리는 것을 깊이 경계하고 있다고 소식통들이 전했다."
145,엘리 제런마예 유럽외교협회(ECFR) 수석정책연구원은 CNN에 “미국이 이란을 공격하면 ‘판도라의 상자’가 열릴 것”이라며 “트럼프 대통령이 남은 임기를 이란과의 전쟁에 소모할 것”이라고 말했다. 미국과 전쟁에서 승산이 없는 이란으로서는 소모전으로 끌고 갈 가능성도 제기됐다.
146,트리타 파르시 퀸시연구소 부소장은 “이란에 대한 미국의 공격은 어떤 것이라도 역내 미군 기지에 대한 전면 공격과 양국의 전면전으로 이어질 것”이라며 “이란은 크기 때문에 미국이 이란의 반격 능력을 없애기 위해 타격해야 할 목표물이 많다”고 설명했다.
147,아델 압델 가파르 중동국제문제위원회 선임분석가는 뉴욕타임스(NYT)에 “이란의 탄도미사일이 중동에 주둔 중인 미군 기지를 타격하는 데는 3~4분밖에 걸리지 않는다”고 말했다. 한편 중동 지역에 배치됐던 미군의 항공기·함정 일부가 안전한 곳으로 피신했다고 로이터통신은 전했다.
148,압돌라술 디브살라르 유엔군축연구소 선임연구원은 사회관계망서비스(SNS) 엑스(X)에 “이란은 소모전에서 승리할 가능성을 보고 있다”며 “미국의 참전은 모두에게 나쁘고 비용이 많이 드는 결정”이라고 적었다. 미국이 보유한 벙커버스터와 전략폭격기를 이용한 공격의 한계도 지적된다. 미국에 거주하는 이란의 전직 외교관인 호세인 무사비안은 X에 이란이 첨단 원심분리기를 다른 곳으로 옮겼을 가능성이 있으며 핵시설에 대한 공격은 오히려 이란이 핵폭탄 제조를 서두를 동기가 될 수 있다고 주장했다.
149,"트럼프 대통령이 수일 내에 이란을 공습하기 위한 대비를 마쳤다고 블룸버그가 보도한 가운데, 그의 핵심 지지층인 마가(MAGA) 진영의 반발 움직임도 트럼프 대통령에게는 부담이다. 또 미국 행정부가 추진하는 예산안을 둘러싼 재정 불안이 높아진 가운데, 미국의 전쟁 참여는 금융시장에도 혼란을 가중할 전망이다."
150,여론도 부정적이다. 이날 영국 일간 가디언에 따르면 지난 13∼16일 18세 이상 미국 시민 1512명을 상대로 조사한 결과 ‘이스라엘과 이란의 충돌에 미군이 개입해야 하느냐’는 질문에 응답자 60%가 반대했다. 찬성 답변은 16%에 불과했다.
151,"이라크의 악몽도 여전하다. 2003년 당시 조지 W 부시 미국 대통령은 대량살상무기(WMD)가 존재한다는 정보를 근거로 이라크를 침공했다. 침공한 지 2주 만에 사담 후세인 정권이 붕괴했지만, 대량살상무기는 발견되지 않았다. 오히려 치안이 무너진 이라크의 혼란은 테러집단 확대에 도움이 됐다. 발리 나스르 존스홉킨스대 국제관계대학원(SAIS) 교수는 NYT에 “같은 이야기가 반복되는 것”이라며 “이란은 이라크보다 훨씬 많은 인구를 갖고 있으며, 더욱 경쟁력 있고 사기 높은 군대를 갖고 있다”고 말했다."
152,이스라엘과 이란의 공방전은 7일째 이어졌다.
153,19일 이스라엘군은 이란 아라크 중수로 핵시설을 공습했다고 밝혔다. 이란 당국자에 따르면 아라크 핵시설의 근무 인원 등이 모두 대피했으며 방사성물질 누출은 발생하지 않았다. 이란도 이스라엘에 20발 이상의 미사일을 발사했다. 이란이 발사한 미사일 최소 수십 기 가운데 일부가 이스라엘 남부 베르셰바의 소로카 병원 등을 타격했다. 텔아비브와 예루살렘 등지에서 격렬한 폭발음이 들렸다고 AFP통신은 전했다.
154,영국 중앙은행 영란은행(BOE)이 19일(현지시간) 통화정책위원회를 열고 기준금리를 연 4.25%로 유지하기로 했다.
155,"BOE는 지난해 중반 이후 기준 금리를 16년 만의 최고치였던 5.25%에서 지난해 8월과 11월, 올해 2월, 5월까지 4차례에 걸쳐 0.25%포인트씩 내렸다."
156,이번 회의에서 통화정책위원 9명 가운데 6명이 동결에 찬성했고 나머지 3명은 0.25%포인트 인하 의견을 냈다.
157,"특히 지난달에는 불확실한 글로벌 경제 상황이 반영되면서 통화정책위원 9명 간 견해가 크게 갈렸다. 5명이 0.25%포인트 인하, 2명은 0.50%포인트 인하, 나머지 2명은 동결을 주장했다."
158,앤드루 베일리 BOE 총재는 이날 성명에서 “금리는 점차 하락 경로를 유지하고 있다”며 8월 7일 열릴 위원회에서 금리 인하 가능성을 시사했다.
159,그러면서도 “세계가 대단히 예측 불가하며 영국에서는 노동시장의 약화 징후가 있다”며 “이런 징후들이 소비자물가상승률(CPI)에 어떻게 영향을 미치는지 주의 깊게 지켜보겠다”고 강조했다.
160,세계 경제의 불확실성은 여러 차례 언급됐다.
161,BOE는 “이번 위원회를 앞두고 지정학적 급변 상황이 있었다”며 이를 계속 면밀히 관찰하겠다고 밝혔다. 또 “중동 충돌 격화로 에너지 가격이 증가했다”며 “위원회는 경제·지정학적 환경에서 고조된 예측 불가능성에 계속 민감하게 반응하고 경제에 대한 위험 평가를 계속 업데이트하겠다”고 말했다.
162,BOE는 연 2%의 물가상승률을 목표로 기준 금리를 조정한다. 지난달 영국의 소비자물가상승률은 연 3.4%로 이를 크게 웃돌았다.
163,시장 전문가들은 다음 위원회를 포함해 연내 2차례 추가 인하로 기준금리가 3.75%까지 내릴 것으로 전망하고 있다.
164,"전날 미국 연방준비제도(Fed·연준)도 기준금리를 현 4.25∼4.50%로 동결하고, 경제 전망에서 연내 2차례 금리인하 전망을 유지했다."
